id,composition,energy,uncertainty,timestamp
gen1_cand13,"{""Fe"": 0.0687681760530793, ""Cu"": 0.028803670085539423, ""Ni"": 0.9024281538613813}",-0.22691179387777732,0.08319804730415345,20260106_113804
gen2_cand19,"{""Ni"": 0.6180653815072893, ""Fe"": 0.3753083220921108, ""Cu"": 0.006626296400599896}",-0.29359088005282064,0.07717285814285278,20260106_113804
gen3_cand19,"{""Cu"": 0.10134309573910463, ""Fe"": 0.0041244953950404116, ""Ni"": 0.8945324088658548}",-0.1912617655160376,0.0715254849433899,20260106_113804
gen1_cand17,"{""Cu"": 0.46418640381983733, ""Fe"": 0.06548527187822298, ""Ni"": 0.47032832430193966}",0.11024833862262329,0.07144734325408936,20260106_113937
gen2_cand10,"{""Fe"": 0.0749575365905131, ""Ni"": 0.7112624517412929, ""Cu"": 0.21378001166819388}",0.07721461275849383,0.07192644538879395,20260106_113937
gen3_cand8,"{""Ni"": 0.8810046956017428, ""Fe"": 0.06191489295542332, ""Cu"": 0.057080411442833996}",-0.2284697983404236,0.07215807499885558,20260106_113937
gen4_cand16,"{""Ni"": 0.655476290785975, ""Fe"": 0.01911657357797785, ""Cu"": 0.325407135636047}",-0.1462272726383433,0.07020752491950989,20260106_113937
gen5_cand13,"{""Ni"": 0.5956548421871465, ""Fe"": 0.008810019017896482, ""Cu"": 0.39553513879495705}",-0.21180545190430672,0.07068459453582764,20260106_113937
gen6_cand7,"{""Fe"": 0.02134275689096961, ""Ni"": 0.49525647447789484, ""Cu"": 0.4834007686311356}",-0.10827645665159989,0.06849696698188783,20260106_113937
gen7_cand4,"{""Cu"": 0.3631138684574726, ""Ni"": 0.49330850730334835, ""Fe"": 0.14357762423917914}",-0.14329463583223911,0.06858599545955658,20260106_113937
gen8_cand7,"{""Cu"": 0.39459795592951846, ""Ni"": 0.5340579431800054, ""Fe"": 0.0713441008904761}",-0.06858540204614691,0.06575268568992615,20260106_113937
gen1_cand0,"{""Cu"": 0.4505952737388216, ""Ni"": 0.4811312620099633, ""Fe"": 0.06827346425121504}",0.12163545928678979,0.06576047005653382,20260106_114509
gen2_cand10,"{""Fe"": 0.031372957015479846, ""Cu"": 0.47380667956542216, ""Ni"": 0.4948203634190978}",0.22515203908991605,0.06299712719917298,20260106_114509
gen3_cand1,"{""Cu"": 0.08430967193254571, ""Fe"": 0.01977458733629122, ""Ni"": 0.895915740731163}",-0.2663966300736522,0.06295467081069947,20260106_114509
gen4_cand10,"{""Ni"": 0.21443700878313376, ""Fe"": 0.025143732116849057, ""Cu"": 0.7604192591000172}",0.19017007545239567,0.060510731363296516,20260106_114509
